id,Geographic Area,Households Median income (dollars),Year
0400000US06,California,57708,2010
0400000US01,Alabama,40474,2010
0400000US02,Alaska,64576,2010
0400000US04,Arizona,46789,2010
0400000US05,Arkansas,38307,2010
0400000US08,Colorado,54046,2010
0400000US09,Connecticut,64032,2010
0400000US10,Delaware,55847,2010
0400000US11,District of Columbia,60903,2010
0400000US12,Florida,44409,2010
0400000US13,Georgia,46430,2010
0400000US15,Hawaii,63030,2010
0400000US16,Idaho,43490,2010
0400000US17,Illinois,52972,2010
0400000US21,Kentucky,40062,2010
0400000US18,Indiana,44613,2010
0400000US19,Iowa,47961,2010
0400000US20,Kansas,48257,2010
0400000US22,Louisiana,42505,2010
0400000US23,Maine,45815,2010
0400000US24,Maryland,68854,2010
0400000US25,Massachusetts,62072,2010
0400000US26,Michigan,45413,2010
0400000US27,Minnesota,55459,2010
0400000US28,Mississippi,36851,2010
0400000US29,Missouri,44301,2010
0400000US30,Montana,42666,2010
0400000US31,Nebraska,48408,2010
0400000US32,Nevada,51001,2010
0400000US33,New Hampshire,61042,2010
0400000US34,New Jersey,67681,2010
0400000US35,New Mexico,42090,2010
0400000US36,New York,54148,2010
0400000US37,North Carolina,43326,2010
0400000US38,North Dakota,48670,2010
0400000US39,Ohio,45090,2010
0400000US40,Oklahoma,42072,2010
0400000US41,Oregon,46560,2010
0400000US42,Pennsylvania,49288,2010
0400000US44,Rhode Island,52254,2010
0400000US45,South Carolina,42018,2010
0400000US46,South Dakota,45904,2010
0400000US47,Tennessee,41461,2010
0400000US48,Texas,48615,2010
0400000US49,Utah,54744,2010
0400000US50,Vermont,49406,2010
0400000US51,Virginia,60674,2010
0400000US53,Washington,55631,2010
0400000US54,West Virginia,38218,2010
0400000US55,Wisconsin,49001,2010
0400000US56,Wyoming,53512,2010
0400000US72,Puerto Rico,18862,2010
0400000US01,Alabama,41415,2011
0400000US02,Alaska,67825,2011
0400000US04,Arizona,46709,2011
0400000US05,Arkansas,38758,2011
0400000US06,California,57287,2011
0400000US08,Colorado,55387,2011
0400000US09,Connecticut,65753,2011
0400000US10,Delaware,58814,2011
0400000US11,District of Columbia,63124,2011
0400000US12,Florida,44299,2011
0400000US13,Georgia,46007,2011
0400000US15,Hawaii,61821,2011
0400000US16,Idaho,43341,2011
0400000US17,Illinois,53234,2011
0400000US18,Indiana,46438,2011
0400000US19,Iowa,49427,2011
0400000US20,Kansas,48964,2011
0400000US21,Kentucky,41141,2011
0400000US22,Louisiana,41734,2011
0400000US23,Maine,46033,2011
0400000US24,Maryland,70004,2011
0400000US25,Massachusetts,62859,2011
0400000US26,Michigan,45981,2011
0400000US27,Minnesota,56954,2011
0400000US28,Mississippi,36919,2011
0400000US29,Missouri,45247,2011
0400000US30,Montana,44222,2011
0400000US31,Nebraska,50296,2011
0400000US32,Nevada,48927,2011
0400000US33,New Hampshire,62647,2011
0400000US34,New Jersey,67458,2011
0400000US35,New Mexico,41963,2011
0400000US36,New York,55246,2011
0400000US37,North Carolina,43916,2011
0400000US38,North Dakota,51704,2011
0400000US39,Ohio,45749,2011
0400000US40,Oklahoma,43225,2011
0400000US41,Oregon,46816,2011
0400000US42,Pennsylvania,50228,2011
0400000US44,Rhode Island,53636,2011
0400000US45,South Carolina,42367,2011
0400000US46,South Dakota,48321,2011
0400000US47,Tennessee,41693,2011
0400000US48,Texas,49392,2011
0400000US49,Utah,55869,2011
0400000US50,Vermont,52776,2011
0400000US51,Virginia,61882,2011
0400000US53,Washington,56835,2011
0400000US54,West Virginia,38482,2011
0400000US55,Wisconsin,50395,2011
0400000US56,Wyoming,56322,2011
0400000US72,Puerto Rico,18660,2011
0400000US01,Alabama,41574,2012
0400000US02,Alaska,67712,2012
0400000US04,Arizona,47826,2012
0400000US05,Arkansas,40112,2012
0400000US06,California,58328,2012
0400000US08,Colorado,56765,2012
0400000US09,Connecticut,67276,2012
0400000US10,Delaware,58415,2012
0400000US11,District of Columbia,66583,2012
0400000US12,Florida,45040,2012
0400000US13,Georgia,47209,2012
0400000US15,Hawaii,66259,2012
0400000US16,Idaho,45489,2012
0400000US17,Illinois,55137,2012
0400000US18,Indiana,46974,2012
0400000US19,Iowa,50957,2012
0400000US20,Kansas,50241,2012
0400000US21,Kentucky,41724,2012
0400000US22,Louisiana,42944,2012
0400000US23,Maine,46709,2012
0400000US24,Maryland,71122,2012
0400000US25,Massachusetts,65339,2012
0400000US26,Michigan,46859,2012
0400000US27,Minnesota,58906,2012
0400000US28,Mississippi,37095,2012
0400000US29,Missouri,45321,2012
0400000US30,Montana,45076,2012
0400000US31,Nebraska,50723,2012
0400000US32,Nevada,49760,2012
0400000US33,New Hampshire,63280,2012
0400000US34,New Jersey,69667,2012
0400000US35,New Mexico,42558,2012
0400000US36,New York,56448,2012
0400000US37,North Carolina,45150,2012
0400000US38,North Dakota,53585,2012
0400000US39,Ohio,46829,2012
0400000US40,Oklahoma,44312,2012
0400000US41,Oregon,49161,2012
0400000US42,Pennsylvania,51230,2012
0400000US44,Rhode Island,54554,2012
0400000US45,South Carolina,43107,2012
0400000US46,South Dakota,48362,2012
0400000US47,Tennessee,42764,2012
0400000US48,Texas,50740,2012
0400000US49,Utah,57049,2012
0400000US50,Vermont,52977,2012
0400000US51,Virginia,61741,2012
0400000US53,Washington,57573,2012
0400000US54,West Virginia,40196,2012
0400000US55,Wisconsin,51059,2012
0400000US56,Wyoming,54901,2012
0400000US72,Puerto Rico,19429,2012
0400000US01,Alabama,42849,2013
0400000US02,Alaska,72237,2013
0400000US04,Arizona,48510,2013
0400000US05,Arkansas,40511,2013
0400000US06,California,60190,2013
0400000US08,Colorado,58823,2013
0400000US09,Connecticut,67098,2013
0400000US10,Delaware,57846,2013
0400000US11,District of Columbia,67572,2013
0400000US12,Florida,46036,2013
0400000US13,Georgia,47829,2013
0400000US15,Hawaii,68020,2013
0400000US16,Idaho,46783,2013
0400000US17,Illinois,56210,2013
0400000US18,Indiana,47529,2013
0400000US19,Iowa,52229,2013
0400000US20,Kansas,50972,2013
0400000US21,Kentucky,43399,2013
0400000US22,Louisiana,44164,2013
0400000US23,Maine,46974,2013
0400000US24,Maryland,72483,2013
0400000US25,Massachusetts,66768,2013
0400000US26,Michigan,48273,2013
0400000US27,Minnesota,60702,2013
0400000US28,Mississippi,37963,2013
0400000US29,Missouri,46931,2013
0400000US30,Montana,46972,2013
0400000US31,Nebraska,51440,2013
0400000US32,Nevada,51230,2013
0400000US33,New Hampshire,64230,2013
0400000US34,New Jersey,70165,2013
0400000US35,New Mexico,43872,2013
0400000US36,New York,57369,2013
0400000US37,North Carolina,45906,2013
0400000US38,North Dakota,55759,2013
0400000US39,Ohio,48081,2013
0400000US40,Oklahoma,45690,2013
0400000US41,Oregon,50251,2013
0400000US42,Pennsylvania,52007,2013
0400000US44,Rhode Island,55902,2013
0400000US45,South Carolina,44163,2013
0400000US46,South Dakota,48947,2013
0400000US47,Tennessee,44297,2013
0400000US48,Texas,51704,2013
0400000US49,Utah,59770,2013
0400000US50,Vermont,52578,2013
0400000US51,Virginia,62666,2013
0400000US53,Washington,58405,2013
0400000US54,West Virginia,41253,2013
0400000US55,Wisconsin,51467,2013
0400000US56,Wyoming,58752,2013
