State,HousingUnitsMedianValue,Year
Alabama,123900,2010
Alaska,241400,2010
Arizona,168800,2010
Arkansas,106300,2010
California,370900,2010
Colorado,236600,2010
Connecticut,288800,2010
Delaware,243600,2010
District of Columbia,426900,2010
Florida,164200,2010
Georgia,156200,2010
Hawaii,525400,2010
Idaho,165100,2010
Illinois,191800,2010
Indiana,123300,2010
Iowa,123400,2010
Kansas,127300,2010
Kentucky,121600,2010
Louisiana,137500,2010
Maine,179100,2010
Maryland,301400,2010
Massachusetts,334100,2010
Michigan,123300,2010
Minnesota,194300,2010
Mississippi,100100,2010
Missouri,139000,2010
Montana,181200,2010
Nebraska,127600,2010
Nevada,174800,2010
New Hampshire,243000,2010
New Jersey,339200,2010
New Mexico,161200,2010
New York,296500,2010
North Carolina,154200,2010
North Dakota,123000,2010
Ohio,134400,2010
Oklahoma,111400,2010
Oregon,244500,2010
Pennsylvania,165500,2010
Puerto Rico,120300,2010
Rhode Island,254500,2010
South Carolina,138100,2010
South Dakota,129700,2010
Tennessee,139000,2010
Texas,128100,2010
Utah,217200,2010
Vermont,216800,2010
Virginia,249100,2010
Washington,271800,2010
West Virginia,95100,2010
Wisconsin,169400,2010
Wyoming,180100,2010
All,195769,2010
Alabama,122700,2011
Alaska,238300,2011
Arizona,153800,2011
Arkansas,106300,2011
California,355600,2011
Colorado,233700,2011
Connecticut,278700,2011
Delaware,236900,2011
District of Columbia,422400,2011
Florida,151000,2011
Georgia,147100,2011
Hawaii,487400,2011
Idaho,158800,2011
Illinois,178500,2011
Indiana,122400,2011
Iowa,123400,2011
Kansas,128300,2011
Kentucky,120600,2011
Louisiana,139400,2011
Maine,171600,2011
Maryland,287100,2011
Massachusetts,326300,2011
Michigan,118100,2011
Minnesota,183500,2011
Mississippi,99900,2011
Missouri,136900,2011
Montana,184100,2011
Nebraska,127400,2011
Nevada,158000,2011
New Hampshire,237500,2011
New Jersey,324900,2011
New Mexico,159000,2011
New York,285300,2011
North Carolina,153700,2011
North Dakota,128600,2011
Ohio,129600,2011
Oklahoma,112600,2011
Oregon,232900,2011
Pennsylvania,164800,2011
Puerto Rico,120300,2011
Rhode Island,245500,2011
South Carolina,136000,2011
South Dakota,131400,2011
Tennessee,138300,2011
Texas,127700,2011
Utah,207500,2011
Vermont,213700,2011
Virginia,243100,2011
Washington,256300,2011
West Virginia,99300,2011
Wisconsin,166700,2011
Wyoming,179900,2011
All,190246,2011
Alabama,123200,2012
Alaska,245100,2012
Arizona,151500,2012
Arkansas,107600,2012
California,349400,2012
Colorado,234900,2012
Connecticut,267800,2012
Delaware,226900,2012
District of Columbia,460700,2012
Florida,148200,2012
Georgia,142300,2012
Hawaii,496600,2012
Idaho,154500,2012
Illinois,170600,2012
Indiana,122700,2012
Iowa,126300,2012
Kansas,130100,2012
Kentucky,120800,2012
Louisiana,139500,2012
Maine,172300,2012
Maryland,279900,2012
Massachusetts,323800,2012
Michigan,115700,2012
Minnesota,178400,2012
Mississippi,99800,2012
Missouri,135000,2012
Montana,184800,2012
Nebraska,128300,2012
Nevada,150700,2012
New Hampshire,236000,2012
New Jersey,311600,2012
New Mexico,157500,2012
New York,280900,2012
North Carolina,150100,2012
North Dakota,142500,2012
Ohio,127600,2012
Oklahoma,114300,2012
Oregon,223900,2012
Pennsylvania,163800,2012
Puerto Rico,127300,2012
Rhode Island,234600,2012
South Carolina,135500,2012
South Dakota,134300,2012
Tennessee,137800,2012
Texas,129200,2012
Utah,199700,2012
Vermont,216900,2012
Virginia,237800,2012
Washington,243000,2012
West Virginia,100400,2012
Wisconsin,165200,2012
Wyoming,187400,2012
All,189321,2012
Alabama,122700,2013
Alaska,254000,2013
Arizona,166000,2013
Arkansas,109500,2013
California,373100,2013
Colorado,240500,2013
Connecticut,267000,2013
Delaware,226200,2013
District of Columbia,470500,2013
Florida,153300,2013
Georgia,141600,2013
