id,Geographic Area,Owner-Occupied Housing Units Median value (dollars),Margin of Error (dollars),Year
0400000US01,Alabama,123900,1515,2010
0400000US02,Alaska,241400,5365,2010
0400000US04,Arizona,168800,1273,2010
0400000US05,Arkansas,106300,1591,2010
0400000US06,California,370900,1528,2010
0400000US08,Colorado,236600,1553,2010
0400000US09,Connecticut,288800,2016,2010
0400000US10,Delaware,243600,3644,2010
0400000US11,District of Columbia,426900,16253,2010
0400000US12,Florida,164200,756,2010
0400000US13,Georgia,156200,949,2010
0400000US15,Hawaii,525400,9714,2010
0400000US16,Idaho,165100,2311,2010
0400000US17,Illinois,191800,1301,2010
0400000US18,Indiana,123300,895,2010
0400000US19,Iowa,123400,1227,2010
0400000US20,Kansas,127300,1824,2010
0400000US21,Kentucky,121600,1429,2010
0400000US22,Louisiana,137500,1828,2010
0400000US23,Maine,179100,2735,2010
0400000US24,Maryland,301400,2878,2010
0400000US25,Massachusetts,334100,1711,2010
0400000US26,Michigan,123300,733,2010
0400000US27,Minnesota,194300,1279,2010
0400000US28,Mississippi,100100,2117,2010
0400000US29,Missouri,139000,1279,2010
0400000US30,Montana,181200,3525,2010
0400000US31,Nebraska,127600,1502,2010
0400000US32,Nevada,174800,2325,2010
0400000US33,New Hampshire,243000,3163,2010
0400000US34,New Jersey,339200,1549,2010
0400000US35,New Mexico,161200,2450,2010
0400000US36,New York,296500,2478,2010
0400000US37,North Carolina,154200,988,2010
0400000US38,North Dakota,123000,3132,2010
0400000US39,Ohio,134400,767,2010
0400000US40,Oklahoma,111400,1236,2010
0400000US41,Oregon,244500,1824,2010
0400000US42,Pennsylvania,165500,863,2010
0400000US72,Puerto Rico,120300,1324,2010
0400000US44,Rhode Island,254500,4443,2010
0400000US45,South Carolina,138100,1274,2010
0400000US46,South Dakota,129700,3184,2010
0400000US47,Tennessee,139000,1433,2010
0400000US48,Texas,128100,783,2010
0400000US49,Utah,217200,1811,2010
0400000US50,Vermont,216800,3888,2010
0400000US51,Virginia,249100,1591,2010
0400000US53,Washington,271800,1696,2010
0400000US54,West Virginia,95100,2307,2010
0400000US55,Wisconsin,169400,826,2010
0400000US56,Wyoming,180100,3876,2010
0400000US01,Alabama,122700,1463,2011
0400000US02,Alaska,238300,5520,2011
0400000US04,Arizona,153800,1459,2011
0400000US05,Arkansas,106300,1643,2011
0400000US06,California,355600,1577,2011
0400000US08,Colorado,233700,1795,2011
0400000US09,Connecticut,278700,2580,2011
0400000US10,Delaware,236900,3594,2011
0400000US11,District of Columbia,422400,15805,2011
0400000US12,Florida,151000,1036,2011
0400000US13,Georgia,147100,1456,2011
0400000US15,Hawaii,487400,9301,2011
0400000US16,Idaho,158800,1970,2011
0400000US17,Illinois,178500,1487,2011
0400000US18,Indiana,122400,1052,2011
0400000US19,Iowa,123400,1181,2011
0400000US20,Kansas,128300,1995,2011
0400000US21,Kentucky,120600,1171,2011
0400000US22,Louisiana,139400,1806,2011
0400000US23,Maine,171600,1802,2011
0400000US24,Maryland,287100,2120,2011
0400000US25,Massachusetts,326300,2004,2011
0400000US26,Michigan,118100,795,2011
0400000US27,Minnesota,183500,1359,2011
0400000US28,Mississippi,99900,1870,2011
0400000US29,Missouri,136900,1372,2011
0400000US30,Montana,184100,3685,2011
0400000US31,Nebraska,127400,1531,2011
0400000US32,Nevada,158000,2406,2011
0400000US33,New Hampshire,237500,3100,2011
0400000US34,New Jersey,324900,1581,2011
0400000US35,New Mexico,159000,2344,2011
0400000US36,New York,285300,2548,2011
0400000US37,North Carolina,153700,1297,2011
0400000US38,North Dakota,128600,3445,2011
0400000US39,Ohio,129600,735,2011
0400000US40,Oklahoma,112600,1269,2011
0400000US41,Oregon,232900,2089,2011
0400000US42,Pennsylvania,164800,766,2011
0400000US44,Rhode Island,245500,3572,2011
0400000US45,South Carolina,136000,1981,2011
0400000US46,South Dakota,131400,3154,2011
0400000US47,Tennessee,138300,1223,2011
0400000US48,Texas,127700,830,2011
0400000US49,Utah,207500,2515,2011
0400000US50,Vermont,213700,3759,2011
0400000US51,Virginia,243100,1721,2011
0400000US53,Washington,256300,2391,2011
0400000US54,West Virginia,99300,1727,2011
0400000US55,Wisconsin,166700,863,2011
0400000US56,Wyoming,179900,4272,2011
